PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
3240284,21111415,3,2021-06-23T20:49:00,"2500 Block Irwin AV Pittsburgh, PA 15214",N,Perry South,1,ROBBERY/CARJACK/GUN,2705 Recklessy Endangering Another Person. / 3702 Robbery of Motor Vehicle. / 2701(a)(3) Simple Assault - Attempts by Physical Menace  / 3921(a) Theft by Unlawful Taking or Disposition - Movable item,2615,6,1,-80.01922013,40.46810987
3240310,21095556,3,2021-06-01T01:15:00,"Smithfield ST & 1st AV Pittsburgh, PA 15222",N,Central Business District,2,ROBBERY/CARJACK/GUN,3702 Robbery of Motor Vehicle. / 2701(a)(3) Simple Assault - Attempts by Physical Menace ,201,6,6,-80.00054962,40.43724274
3240895,21113327,3,2021-06-26T15:30:00,"N Lang AV & Race ST Pittsburgh, PA 15208",N,Homewood North,5,ROBBERY/CARJACK/STRONGARM,3702 Robbery of Motor Vehicle.,1301,9,2,-79.89797583,40.45933817
3241229,21114984,3,2021-06-28T23:04:00,"2500 Block N Charles ST Pittsburgh, PA 15214",N,Perry South,1,ROBBERY/CARJACK/GUN,3702 Robbery of Motor Vehicle. / 3921 Theft by Unlawful Taking or Disposition.,2615,6,1,-80.01882043,40.46689368
3241836,21115744,3,2021-06-30T04:00:00,"800 Block Chartiers AV Pittsburgh, PA 15220",N,Elliott,6,ROBBERY/CARJACK/GUN,3502 Burglary. / 3701 Robbery. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item,2020,2,5,-80.03904135,40.44259536
3243584,21121634,3,2021-07-08T04:26:00,"6500 Block Apple AV Pittsburgh, PA 15206",N,Lincoln-Lemington-Belmar,5,ROBBERY/CARJACK/GUN,901 Criminal Attempt / 903 Criminal Conspiracy. / 2702 Aggravated Assault. / 3702 Robbery of Motor Vehicle. / 2701(a)(3) Simple Assault - Attempts by Physical Menace ,1203,,,0,0
3243711,21120827,3,2021-07-07T00:55:00,"2600 Block Norwood AV Pittsburgh, PA 15214",N,Perry South,1,ROBBERY/CARJACK/GUN,3701 Robbery. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item,2615,6,1,-80.01270194,40.47025039
3243812,21121370,3,2021-07-07T19:02:00,"7700 Block Baxter ST Pittsburgh, PA 15221",N,Homewood North,5,ROBBERY/CARJACK/GUN,3702 Robbery of Motor Vehicle. / 3921 Theft by Unlawful Taking or Disposition.,1301,9,2,-79.88760983,40.45632146
3243824,21121398,3,2021-07-07T19:15:00,"Mohler ST & Tyson ST Pittsburgh, PA 15221",N,Homewood North,5,ROBBERY/CARJACK/GUN,3702 Robbery of Motor Vehicle.,1301,9,2,-79.88475967,40.4566958
3244520,21124276,3,2021-07-11T23:15:00,"7600 Block Hamilton AV Pittsburgh, PA 15221",N,Homewood South,5,ROBBERY/CARJACK/GUN,3701 Robbery.,1304,9,2,-79.89106961,40.4528606
3244984,21125541,3,2021-07-13T19:10:00,"6800 Block Frankstown AV Pittsburgh, PA 15208",N,Homewood West,5,ROBBERY/CARJACK/STRONGARM,3702 Robbery of Motor Vehicle.,1207,9,2,-79.90598514,40.45812233
