DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
231516813,10/30/2023 12:00:00 AM,10/29/2023 12:00:00 AM,2345,15,N Hollywood,1549,1,210,ROBBERY,1218 1822 0334 2004 0916 1240 1300 0302 0421 0354,26,M,W,101,STREET,102,HAND GUN,AA,Adult Arrest,210,,,,CUMPSTON                     ST,LANKERSHIM                   BL,34.17,-118.379
231212389,05/20/2023 12:00:00 AM,05/20/2023 12:00:00 AM,2315,12,77th Street,1266,1,210,ROBBERY,0916 1822 0344 0334 0302 1309 1313 0209,56,F,H,101,STREET,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,210,,,,400 W  82ND                         ST,,33.965,-118.2814
231908372,04/23/2023 12:00:00 AM,04/23/2023 12:00:00 AM,1855,19,Mission,1964,1,210,ROBBERY,0916 0445 1822 0330 1402,31,M,H,101,STREET,204,FOLDING KNIFE,AA,Adult Arrest,210,998,,,TUPPER                       ST,KESTER                       AV,34.2391,-118.4562
231208269,03/12/2023 12:00:00 AM,03/12/2023 12:00:00 AM,0545,12,77th Street,1249,1,210,ROBBERY,0344 1822 0916,43,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,FIGUEROA,69TH                         ST,33.9774,-118.2827
231815748,08/31/2023 12:00:00 AM,08/31/2023 12:00:00 AM,0005,18,Southeast,1803,1,210,ROBBERY,0330 2034 1822 1300 1310 0400 0916,23,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,89TH                         ST,METTLER                      AV,33.9583,-118.2684
230406117,03/06/2023 12:00:00 AM,03/06/2023 12:00:00 AM,0230,04,Hollenbeck,0429,1,210,ROBBERY,0342 0344 0330 1309 0302 0916,26,M,B,101,STREET,102,HAND GUN,IC,Invest Cont,210,,,,5300    EDNA                         ST,,34.0839,-118.1684
231711055,06/08/2023 12:00:00 AM,06/07/2023 12:00:00 AM,1830,17,Devonshire,1783,1,210,ROBBERY,0916 1822 0377 0344 0330 1300 0416,56,M,B,108,PARKING LOT,307,VEHICLE,IC,Invest Cont,210,510,,,TAMPA                        AV,NORDHOFF                     ST,34.2355,-118.5536
232018397,11/21/2023 12:00:00 AM,11/21/2023 12:00:00 AM,0230,20,Olympic,2015,1,210,ROBBERY,0330 0342 0916 1822,54,M,O,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,200 N  NEW HAMPSHIRE                AV,,34.0745,-118.2929
230509423,05/31/2023 12:00:00 AM,05/31/2023 12:00:00 AM,1730,05,Harbor,0529,1,210,ROBBERY,0369 1822 0916 0449 0448 0302 1309 0330 0344 1218,44,M,H,101,STREET,102,HAND GUN,IC,Invest Cont,210,,,,SANFORD                      AV,F                            ST,33.7777,-118.2505
230314193,07/28/2023 12:00:00 AM,07/27/2023 12:00:00 AM,2145,03,Southwest,0308,1,510,VEHICLE - STOLEN,0916 1202 0400 0354 0344 0329 0913 1309,76,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,510,,,,1000 W  20TH                         ST,,34.0364,-118.2802
231804792,01/15/2023 12:00:00 AM,01/15/2023 12:00:00 AM,0500,18,Southeast,1826,1,210,ROBBERY,1206 0916 1822 0302 0355 0352 0344 0377 1311 0330,41,M,H,103,ALLEY,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,210,,,,9200    COMPTON                      AV,,33.9533,-118.246
231917450,12/05/2023 12:00:00 AM,12/05/2023 12:00:00 AM,0545,19,Mission,1987,1,210,ROBBERY,0444 0355 0916 0354 0330 1202 0213 0421 1822 0344,65,M,H,247,CAR WASH,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,WOODMAN                      AV,CHASE,34.228,-118.4344
231314513,07/25/2023 12:00:00 AM,07/25/2023 12:00:00 AM,1630,13,Newton,1351,1,210,ROBBERY,0330 0319 0444 0916 0448 0429 0913 2000,29,F,B,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,210,,,,41ST                         ST,BROADWAY,34.0093,-118.2784
230209435,04/23/2023 12:00:00 AM,04/23/2023 12:00:00 AM,0540,02,Rampart,0261,1,210,ROBBERY,0916 1309 1822 0342 0432 0302 0337 2004 0906,52,M,H,101,STREET,102,HAND GUN,AA,Adult Arrest,210,,,,7TH                          ST,CORONADO                     ST,34.0589,-118.2821
230310666,05/10/2023 12:00:00 AM,05/10/2023 12:00:00 AM,1325,03,Southwest,0312,1,210,ROBBERY,0916 0432 0344 0913 0342 0334,56,M,H,108,PARKING LOT,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,210,,,,W  JEFFERSON                    BL,LA BREA,34.0255,-118.3556
231219156,09/09/2023 12:00:00 AM,09/09/2023 12:00:00 AM,0256,12,77th Street,1258,1,210,ROBBERY,0916 1822 0342 0344 0302 0355,22,M,H,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,210,,,,75TH                         ST,MAIN                         ST,33.9721,-118.2739
230511847,08/02/2023 12:00:00 AM,08/02/2023 12:00:00 AM,1250,05,Harbor,0528,1,220,ATTEMPTED ROBBERY,0916 0330 1822 1310 0416 0432,22,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,220,,,,1200    BLINN                        AV,,33.7876,-118.2452
231320710,11/17/2023 12:00:00 AM,11/17/2023 12:00:00 AM,0030,13,Newton,1313,1,210,ROBBERY,0916 1822 1218 0344 0302 1268 0421,34,M,W,101,STREET,102,HAND GUN,IC,Invest Cont,210,,,,16TH,GRIFFITH,34.0279,-118.2518
231800558,02/20/2023 12:00:00 AM,02/20/2023 12:00:00 AM,0145,18,Southeast,1861,1,210,ROBBERY,0330 1822 0916 0411 1300 1305 1310 0416,33,M,H,301,GAS STATION,102,HAND GUN,IC,Invest Cont,210,,,,CENTURY,FIGUEROA,33.9274,-118.2871
231220249,09/26/2023 12:00:00 AM,09/26/2023 12:00:00 AM,1100,12,77th Street,1204,1,210,ROBBERY,0342 0216 1300 0916 0344 1822 1309 0355,23,F,H,101,STREET,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,210,,,,1400 W  VERNON                       AV,,34.0037,-118.3002
230509002,05/20/2023 12:00:00 AM,05/20/2023 12:00:00 AM,0100,05,Harbor,0503,1,210,ROBBERY,1822 0916 0330 0334 0342 0354 0216 0344 0416 1402,35,M,H,101,STREET,109,SEMI-AUTOMATIC PISTOL,JA,Juv Arrest,210,998,,,253RD                        ST,PETROLEUM                    AV,33.7947,-118.2938
231214184,06/20/2023 12:00:00 AM,06/19/2023 12:00:00 AM,2340,12,77th Street,1249,1,210,ROBBERY,0916 0431 0449 0352,27,M,H,101,STREET,106,UNKNOWN FIREARM,IC,Invest Cont,210,,,,70TH                         ST,DENVER,33.9761,-118.2838
230505391,02/07/2023 12:00:00 AM,02/07/2023 12:00:00 AM,2000,05,Harbor,0564,1,210,ROBBERY,1259 1822 0344 2004 1402 0916 1606 0400,17,M,H,101,STREET,307,VEHICLE,AA,Adult Arrest,210,998,,,500 S  HARBOR                       BL,,33.7407,-118.2798
230214968,08/04/2023 12:00:00 AM,08/03/2023 12:00:00 AM,2337,02,Rampart,0261,1,210,ROBBERY,1822 0916 0330 0449 0355 1218,35,M,H,101,STREET,102,HAND GUN,IC,Invest Cont,210,510,,,8TH                          ST,GRAND VIEW,34.0558,-118.28
230209165,04/18/2023 12:00:00 AM,04/18/2023 12:00:00 AM,1730,02,Rampart,0245,1,510,VEHICLE - STOLEN,0916 1822 1310 0330 1206,44,F,B,101,STREET,511,VERBAL THREAT,IC,Invest Cont,510,,,,300 S  ALVARADO                     ST,,34.061,-118.2775
230510054,06/17/2023 12:00:00 AM,06/17/2023 12:00:00 AM,2200,05,Harbor,0587,1,210,ROBBERY,1822 1310 0302 0355 1311 0344 0432 0916 0330,27,F,H,101,STREET,102,HAND GUN,JA,Juv Arrest,210,,,,32ND                         ST,GAFFEY                       ST,33.7152,-118.2929
